hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,54,2017,March,11,15,0,4,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,57.6,0,1
Resort Hotel,9,2016,May,20,12,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,H,3,No Deposit,0,Transient-Party,0.0,0,0
City Hotel,3,2015,August,32,7,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,75.0,0,0
City Hotel,20,2016,August,32,6,0,1,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,231.0,0,1
Resort Hotel,20,2017,February,8,21,2,5,2,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,42.0,0,0
Resort Hotel,120,2016,July,28,9,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,160.71,0,1
City Hotel,17,2015,September,39,26,2,2,1,0,0,BB,IRN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,170.0,0,0
Resort Hotel,60,2017,August,34,25,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,207.0,0,1
City Hotel,146,2016,July,32,31,2,3,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,116.45,0,1
City Hotel,21,2017,March,11,16,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,78.0,0,0
City Hotel,299,2015,August,33,12,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0
City Hotel,86,2016,January,4,22,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,35,Transient,85.0,0,0
City Hotel,26,2016,September,37,5,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,127.2,0,0
City Hotel,72,2015,October,44,28,0,3,2,0,0,BB,ISR,Groups,TA/TO,0,0,0,A,D,0,No Deposit,58,Transient-Party,85.67,0,1
City Hotel,339,2015,September,39,21,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Contract,62.0,0,0
City Hotel,437,2016,May,19,2,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,60.0,0,0
City Hotel,186,2017,July,29,20,0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,96.9,0,0
City Hotel,18,2017,July,27,2,1,0,2,0,0,SC,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,160.0,0,2
City Hotel,106,2016,December,53,27,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,104.0,0,1
Resort Hotel,39,2016,August,36,30,0,2,2,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,169.0,0,3
City Hotel,115,2016,March,13,20,2,0,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,22,Transient,70.0,0,0
City Hotel,169,2017,April,16,20,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,0,Transient,90.09,0,1
City Hotel,297,2015,August,33,10,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0
City Hotel,86,2016,December,50,8,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,122.0,0,0
City Hotel,128,2016,February,6,5,2,5,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,43.43,0,1
Resort Hotel,26,2017,March,11,14,0,5,1,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient-Party,65.0,0,0
City Hotel,0,2016,April,17,23,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,0,Transient,90.78,0,0
City Hotel,32,2017,June,24,11,2,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,0
City Hotel,104,2015,December,49,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,75.0,0,0
City Hotel,78,2017,April,14,7,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,117.0,0,1
City Hotel,86,2016,August,33,12,0,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,1
City Hotel,21,2016,October,41,4,0,3,2,0,0,BB,EGY,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,85.0,0,0
City Hotel,213,2016,October,40,1,2,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,102.85,0,1
City Hotel,81,2016,October,41,8,2,3,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,132.3,0,0
City Hotel,32,2016,April,17,20,0,2,2,1,0,BB,TZA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,0,Transient,126.0,0,2
Resort Hotel,11,2016,January,3,11,3,7,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,38.96,0,1
City Hotel,15,2016,November,48,22,2,5,2,0,0,SC,ZAF,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,77.35,0,2
City Hotel,164,2016,August,34,19,2,3,2,0,0,HB,POL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,133.45,0,0
City Hotel,245,2016,July,28,6,2,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0
City Hotel,3,2016,April,18,28,0,1,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,128.0,1,0
City Hotel,54,2016,April,17,20,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,4,No Deposit,0,Transient,130.05,0,0
City Hotel,31,2016,June,27,26,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,77.47,0,1
Resort Hotel,185,2016,April,17,18,1,1,2,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,0
City Hotel,152,2017,August,33,19,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,0
City Hotel,24,2017,March,11,15,1,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,139.4,0,0
City Hotel,206,2017,June,25,22,0,3,2,0,0,BB,FRA,Online TA,Direct,0,0,0,A,A,0,No Deposit,0,Transient,117.0,0,0
City Hotel,12,2017,May,20,16,2,5,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,161.5,0,1
Resort Hotel,112,2015,December,53,30,0,3,2,0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,224.67,0,0
Resort Hotel,95,2016,April,15,9,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,52.2,0,1
City Hotel,423,2017,July,29,22,1,1,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,122.4,0,1
City Hotel,1,2016,April,15,4,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.0,0,2
Resort Hotel,109,2017,June,24,16,4,7,3,0,0,FB,PRT,Direct,Direct,1,0,2,F,F,0,No Deposit,0,Transient,318.82,1,2
City Hotel,294,2015,August,32,7,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0
City Hotel,34,2016,February,7,12,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,78.3,0,0
City Hotel,3,2015,September,36,3,0,2,1,0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,96.0,0,0
Resort Hotel,46,2015,August,35,28,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,120.6,0,1
City Hotel,36,2016,September,37,9,0,1,2,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,112.59,0,1
Resort Hotel,23,2016,October,44,24,1,1,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,60.0,1,2
Resort Hotel,3,2016,June,27,30,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,156.0,1,1
City Hotel,7,2017,February,8,20,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,100.3,0,0
City Hotel,123,2017,May,19,8,1,4,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,129.6,0,1
Resort Hotel,1,2016,November,48,20,1,0,2,0,0,BB,MWI,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,0,Transient,80.0,1,1
City Hotel,295,2016,April,18,28,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
City Hotel,5,2015,December,51,17,0,2,2,0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,69.0,0,0
City Hotel,186,2016,April,17,22,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,80.0,0,0
